,PID,status,blockorder,condition_1,Zone.Type,ratings,condition_2,samplegroup
9002,5974527,complete,SNE,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,74297
9967,5974527,complete,SNE,Trash_Single_Positive,response_slider_endValue,8,single 16 positive,74297
10941,5936792,complete,SNE,Trash_Single_Positive,response_slider_endValue,4,single 16 positive,74297
12462,5936792,complete,SNE,Trash_Single_Positive,response_slider_endValue,4,single 72 positive,74297
943,5946414,complete,ESN,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,74297
2468,5946414,complete,ESN,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,74297
3443,5973022,complete,ESN,Trash_Single_Positive,response_slider_endValue,0,single 16 positive,74297
4968,5973022,complete,ESN,Trash_Single_Positive,response_slider_endValue,1,single 72 positive,74297
6506,6031610,complete,ESN,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,74297
7468,6031610,complete,ESN,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,74297
8445,6055404,complete,ESN,Trash_Single_Positive,response_slider_endValue,2,single 16 positive,74297
9968,6055404,complete,ESN,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,74297
944,5974527,complete,SNE,Empty_Positive,response_slider_endValue,9,empty 16 positive,74297
2469,5974527,complete,SNE,Empty_Positive,response_slider_endValue,10,empty 72 positive,74297
3444,6050808,complete,SNE,Empty_Positive,response_slider_endValue,-7,empty 16 positive,74297
4969,6050808,complete,SNE,Empty_Positive,response_slider_endValue,0,empty 72 positive,74297
6507,6099951,complete,SNE,Empty_Positive,response_slider_endValue,3,empty 72 positive,74297
7469,6099951,complete,SNE,Empty_Positive,response_slider_endValue,3,empty 16 positive,74297
8446,6026267,complete,SNE,Empty_Positive,response_slider_endValue,1,empty 16 positive,74297
9969,6026267,complete,SNE,Empty_Positive,response_slider_endValue,-5,empty 72 positive,74297
11501,5936792,complete,SNE,Empty_Positive,response_slider_endValue,7,empty 72 positive,74297
12463,5936792,complete,SNE,Empty_Positive,response_slider_endValue,7,empty 16 positive,74297
1505,5946414,complete,ESN,Trash_Single_Negative,response_slider_endValue,1,single 72 negative,74297
24610,5946414,complete,ESN,Trash_Single_Negative,response_slider_endValue,-6,single 16 negative,74297
3445,5973022,complete,ESN,Trash_Single_Negative,response_slider_endValue,1,single 16 negative,74297
49610,5973022,complete,ESN,Trash_Single_Negative,response_slider_endValue,-1,single 72 negative,74297
5942,6031610,complete,ESN,Trash_Single_Negative,response_slider_endValue,-7,single 16 negative,74297
74610,6031610,complete,ESN,Trash_Single_Negative,response_slider_endValue,-8,single 72 negative,74297
9003,6055404,complete,ESN,Trash_Single_Negative,response_slider_endValue,-5,single 72 negative,74297
99610,6055404,complete,ESN,Trash_Single_Negative,response_slider_endValue,5,single 16 negative,74297
945,6099951,complete,SNE,Empty_Negative,response_slider_endValue,-6,empty 16 negative,74297
24611,6099951,complete,SNE,Empty_Negative,response_slider_endValue,-2,empty 72 negative,74297
4005,6050808,complete,SNE,Empty_Negative,response_slider_endValue,-7,empty 72 negative,74297
49611,6050808,complete,SNE,Empty_Negative,response_slider_endValue,9,empty 16 negative,74297
5943,6026267,complete,SNE,Empty_Negative,response_slider_endValue,-10,empty 16 negative,74297
74611,6026267,complete,SNE,Empty_Negative,response_slider_endValue,-9,empty 72 negative,74297
8447,5936792,complete,SNE,Empty_Negative,response_slider_endValue,-6,empty 16 negative,74297
99611,5936792,complete,SNE,Empty_Negative,response_slider_endValue,2,empty 72 negative,74297
10942,5974527,complete,SNE,Empty_Negative,response_slider_endValue,6,empty 16 negative,74297
12464,5974527,complete,SNE,Empty_Negative,response_slider_endValue,-8,empty 72 negative,74297
946,6089196,complete,ENS,Empty_Negative,response_slider_endValue,0,empty 16 negative,74297
24612,6089196,complete,ENS,Empty_Negative,response_slider_endValue,0,empty 72 negative,74297
4006,6020569,complete,ENS,Empty_Negative,response_slider_endValue,-9,empty 72 negative,74297
49612,6020569,complete,ENS,Empty_Negative,response_slider_endValue,-9,empty 16 negative,74297
6508,5968425,complete,ENS,Empty_Negative,response_slider_endValue,3,empty 72 negative,74297
74612,5968425,complete,ENS,Empty_Negative,response_slider_endValue,1,empty 16 negative,74297
8448,6054173,complete,ENS,Empty_Negative,response_slider_endValue,-7,empty 16 negative,74297
99612,6054173,complete,ENS,Empty_Negative,response_slider_endValue,-9,empty 72 negative,74297
78,6050808,complete,SNE,No D Events,response_slider_endValue,10,noD positive,74297
158,6050808,complete,SNE,No D Events,response_slider_endValue,-10,noD negative,74297
240,6099951,complete,SNE,No D Events,response_slider_endValue,0,noD negative,74297
320,6099951,complete,SNE,No D Events,response_slider_endValue,0,noD positive,74297
402,6026267,complete,SNE,No D Events,response_slider_endValue,2,noD positive,74297
482,6026267,complete,SNE,No D Events,response_slider_endValue,-9,noD negative,74297
564,5974527,complete,SNE,No D Events,response_slider_endValue,8,noD positive,74297
644,5974527,complete,SNE,No D Events,response_slider_endValue,-10,noD negative,74297
726,5936792,complete,SNE,No D Events,response_slider_endValue,7,noD positive,74297
806,5936792,complete,SNE,No D Events,response_slider_endValue,-8,noD negative,74297
781,6086199,complete,SEN,No D Events,response_slider_endValue,9,noD positive,74297
1581,6086199,complete,SEN,No D Events,response_slider_endValue,-7,noD negative,74297
2401,6057715,complete,SEN,No D Events,response_slider_endValue,-8,noD negative,74297
3201,6057715,complete,SEN,No D Events,response_slider_endValue,0,noD positive,74297
4021,6043833,complete,SEN,No D Events,response_slider_endValue,2,noD positive,74297
4821,6043833,complete,SEN,No D Events,response_slider_endValue,-8,noD negative,74297
5641,5968452,complete,SEN,No D Events,response_slider_endValue,7,noD positive,74297
6441,5968452,complete,SEN,No D Events,response_slider_endValue,-8,noD negative,74297
7261,5966351,complete,SEN,No D Events,response_slider_endValue,-8,noD negative,74297
8061,5966351,complete,SEN,No D Events,response_slider_endValue,-1,noD positive,74297
1506,6099951,complete,SNE,Trash_Single_Negative,response_slider_endValue,4,single 72 negative,74297
24613,6099951,complete,SNE,Trash_Single_Negative,response_slider_endValue,7,single 16 negative,74297
3446,6050808,complete,SNE,Trash_Single_Negative,response_slider_endValue,0,single 16 negative,74297
49613,6050808,complete,SNE,Trash_Single_Negative,response_slider_endValue,9,single 72 negative,74297
6509,6026267,complete,SNE,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,74297
74613,6026267,complete,SNE,Trash_Single_Negative,response_slider_endValue,-7,single 16 negative,74297
9004,5974527,complete,SNE,Trash_Single_Negative,response_slider_endValue,4,single 72 negative,74297
99613,5974527,complete,SNE,Trash_Single_Negative,response_slider_endValue,4,single 16 negative,74297
10943,5936792,complete,SNE,Trash_Single_Negative,response_slider_endValue,3,single 16 negative,74297
12465,5936792,complete,SNE,Trash_Single_Negative,response_slider_endValue,-3,single 72 negative,74297
947,5950660,complete,NSE,Empty_Negative,response_slider_endValue,-5,empty 16 negative,74297
24614,5950660,complete,NSE,Empty_Negative,response_slider_endValue,-10,empty 72 negative,74297
3447,5974532,complete,NSE,Empty_Negative,response_slider_endValue,-4,empty 16 negative,74297
49614,5974532,complete,NSE,Empty_Negative,response_slider_endValue,-10,empty 72 negative,74297
65010,6030824,complete,NSE,Empty_Negative,response_slider_endValue,-9,empty 72 negative,74297
74614,6030824,complete,NSE,Empty_Negative,response_slider_endValue,-8,empty 16 negative,74297
9005,6055086,complete,NSE,Empty_Negative,response_slider_endValue,-5,empty 72 negative,74297
99614,6055086,complete,NSE,Empty_Negative,response_slider_endValue,-8,empty 16 negative,74297
10944,6081903,complete,NSE,Empty_Negative,response_slider_endValue,1,empty 16 negative,74297
12466,6081903,complete,NSE,Empty_Negative,response_slider_endValue,-2,empty 72 negative,74297
948,6096174,complete,NES,Trash_Single_Negative,response_slider_endValue,-8,single 16 negative,74297
24615,6096174,complete,NES,Trash_Single_Negative,response_slider_endValue,-8,single 72 negative,74297
3448,6047614,complete,NES,Trash_Single_Negative,response_slider_endValue,-6,single 16 negative,74297
49615,6047614,complete,NES,Trash_Single_Negative,response_slider_endValue,-4,single 72 negative,74297
5944,5970293,complete,NES,Trash_Single_Negative,response_slider_endValue,-7,single 16 negative,74297
74615,5970293,complete,NES,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,74297
9006,5947992,complete,NES,Trash_Single_Negative,response_slider_endValue,-4,single 72 negative,74297
99615,5947992,complete,NES,Trash_Single_Negative,response_slider_endValue,-8,single 16 negative,74297
1507,5950660,complete,NSE,Trash_Single_Positive,response_slider_endValue,4,single 72 positive,74297
24616,5950660,complete,NSE,Trash_Single_Positive,response_slider_endValue,3,single 16 positive,74297
4007,5974532,complete,NSE,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,74297
49616,5974532,complete,NSE,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,74297
65011,6030824,complete,NSE,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,74297
74616,6030824,complete,NSE,Trash_Single_Positive,response_slider_endValue,2,single 16 positive,74297
8449,6055086,complete,NSE,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,74297
99616,6055086,complete,NSE,Trash_Single_Positive,response_slider_endValue,4,single 72 positive,74297
11502,6081903,complete,NSE,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,74297
12467,6081903,complete,NSE,Trash_Single_Positive,response_slider_endValue,2,single 16 positive,74297
782,6089196,complete,ENS,No D Events,response_slider_endValue,7,noD positive,74297
1582,6089196,complete,ENS,No D Events,response_slider_endValue,-7,noD negative,74297
2402,5968425,complete,ENS,No D Events,response_slider_endValue,1,noD negative,74297
3202,5968425,complete,ENS,No D Events,response_slider_endValue,5,noD positive,74297
4022,6020569,complete,ENS,No D Events,response_slider_endValue,-7,noD negative,74297
4822,6020569,complete,ENS,No D Events,response_slider_endValue,6,noD positive,74297
5642,6054173,complete,ENS,No D Events,response_slider_endValue,-8,noD negative,74297
6442,6054173,complete,ENS,No D Events,response_slider_endValue,6,noD positive,74297
949,6086199,complete,SEN,Empty_Positive,response_slider_endValue,8,empty 16 positive,74297
24617,6086199,complete,SEN,Empty_Positive,response_slider_endValue,9,empty 72 positive,74297
4008,5968452,complete,SEN,Empty_Positive,response_slider_endValue,3,empty 72 positive,74297
49617,5968452,complete,SEN,Empty_Positive,response_slider_endValue,5,empty 16 positive,74297
5945,5966351,complete,SEN,Empty_Positive,response_slider_endValue,-1,empty 16 positive,74297
74617,5966351,complete,SEN,Empty_Positive,response_slider_endValue,6,empty 72 positive,74297
84410,6057715,complete,SEN,Empty_Positive,response_slider_endValue,2,empty 16 positive,74297
99617,6057715,complete,SEN,Empty_Positive,response_slider_endValue,1,empty 72 positive,74297
11503,6043833,complete,SEN,Empty_Positive,response_slider_endValue,1,empty 72 positive,74297
12468,6043833,complete,SEN,Empty_Positive,response_slider_endValue,5,empty 16 positive,74297
1508,6086199,complete,SEN,Empty_Negative,response_slider_endValue,-7,empty 72 negative,74297
24618,6086199,complete,SEN,Empty_Negative,response_slider_endValue,-8,empty 16 negative,74297
4009,6057715,complete,SEN,Empty_Negative,response_slider_endValue,-9,empty 72 negative,74297
49618,6057715,complete,SEN,Empty_Negative,response_slider_endValue,-9,empty 16 negative,74297
65012,6043833,complete,SEN,Empty_Negative,response_slider_endValue,-9,empty 72 negative,74297
74618,6043833,complete,SEN,Empty_Negative,response_slider_endValue,-9,empty 16 negative,74297
84411,5968452,complete,SEN,Empty_Negative,response_slider_endValue,-9,empty 16 negative,74297
99618,5968452,complete,SEN,Empty_Negative,response_slider_endValue,-9,empty 72 negative,74297
10945,5966351,complete,SEN,Empty_Negative,response_slider_endValue,-10,empty 16 negative,74297
12469,5966351,complete,SEN,Empty_Negative,response_slider_endValue,-9,empty 72 negative,74297
783,5950660,complete,NSE,No D Events,response_slider_endValue,5,noD positive,74297
1583,5950660,complete,NSE,No D Events,response_slider_endValue,-8,noD negative,74297
2403,5974532,complete,NSE,No D Events,response_slider_endValue,-5,noD negative,74297
3203,5974532,complete,NSE,No D Events,response_slider_endValue,7,noD positive,74297
4023,6030824,complete,NSE,No D Events,response_slider_endValue,-2,noD negative,74297
4823,6030824,complete,NSE,No D Events,response_slider_endValue,6,noD positive,74297
5643,6055086,complete,NSE,No D Events,response_slider_endValue,5,noD positive,74297
6443,6055086,complete,NSE,No D Events,response_slider_endValue,-8,noD negative,74297
7262,6081903,complete,NSE,No D Events,response_slider_endValue,4,noD positive,74297
8062,6081903,complete,NSE,No D Events,response_slider_endValue,-7,noD negative,74297
1509,6086199,complete,SEN,Trash_Single_Negative,response_slider_endValue,-7,single 72 negative,74297
24619,6086199,complete,SEN,Trash_Single_Negative,response_slider_endValue,-5,single 16 negative,74297
3449,6057715,complete,SEN,Trash_Single_Negative,response_slider_endValue,-7,single 16 negative,74297
49619,6057715,complete,SEN,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,74297
5946,6043833,complete,SEN,Trash_Single_Negative,response_slider_endValue,-9,single 16 negative,74297
74619,6043833,complete,SEN,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,74297
9007,5968452,complete,SEN,Trash_Single_Negative,response_slider_endValue,-7,single 72 negative,74297
99619,5968452,complete,SEN,Trash_Single_Negative,response_slider_endValue,-9,single 16 negative,74297
10946,5966351,complete,SEN,Trash_Single_Negative,response_slider_endValue,-7,single 16 negative,74297
124610,5966351,complete,SEN,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,74297
15010,6096174,complete,NES,Empty_Negative,response_slider_endValue,-9,empty 72 negative,74297
24620,6096174,complete,NES,Empty_Negative,response_slider_endValue,-9,empty 16 negative,74297
34410,6047614,complete,NES,Empty_Negative,response_slider_endValue,-5,empty 16 negative,74297
49620,6047614,complete,NES,Empty_Negative,response_slider_endValue,-3,empty 72 negative,74297
5947,5970293,complete,NES,Empty_Negative,response_slider_endValue,-6,empty 16 negative,74297
74620,5970293,complete,NES,Empty_Negative,response_slider_endValue,-8,empty 72 negative,74297
84412,5947992,complete,NES,Empty_Negative,response_slider_endValue,-4,empty 16 negative,74297
99620,5947992,complete,NES,Empty_Negative,response_slider_endValue,-7,empty 72 negative,74297
9410,5946414,complete,ESN,Empty_Negative,response_slider_endValue,-3,empty 16 negative,74297
24621,5946414,complete,ESN,Empty_Negative,response_slider_endValue,3,empty 72 negative,74297
40010,5973022,complete,ESN,Empty_Negative,response_slider_endValue,0,empty 72 negative,74297
49621,5973022,complete,ESN,Empty_Negative,response_slider_endValue,-1,empty 16 negative,74297
5948,6031610,complete,ESN,Empty_Negative,response_slider_endValue,-8,empty 16 negative,74297
74621,6031610,complete,ESN,Empty_Negative,response_slider_endValue,-2,empty 72 negative,74297
9008,6055404,complete,ESN,Empty_Negative,response_slider_endValue,0,empty 72 negative,74297
99621,6055404,complete,ESN,Empty_Negative,response_slider_endValue,0,empty 16 negative,74297
784,5946414,complete,ESN,No D Events,response_slider_endValue,-4,noD negative,74297
1584,5946414,complete,ESN,No D Events,response_slider_endValue,5,noD positive,74297
2404,5973022,complete,ESN,No D Events,response_slider_endValue,2,noD positive,74297
3204,5973022,complete,ESN,No D Events,response_slider_endValue,3,noD negative,74297
4024,6031610,complete,ESN,No D Events,response_slider_endValue,-8,noD negative,74297
4824,6031610,complete,ESN,No D Events,response_slider_endValue,1,noD positive,74297
5644,6055404,complete,ESN,No D Events,response_slider_endValue,5,noD positive,74297
6444,6055404,complete,ESN,No D Events,response_slider_endValue,-8,noD negative,74297
785,6096174,complete,NES,No D Events,response_slider_endValue,3,noD positive,74297
1585,6096174,complete,NES,No D Events,response_slider_endValue,-9,noD negative,74297
2405,6047614,complete,NES,No D Events,response_slider_endValue,5,noD positive,74297
3205,6047614,complete,NES,No D Events,response_slider_endValue,1,noD negative,74297
4025,5970293,complete,NES,No D Events,response_slider_endValue,-4,noD positive,74297
4825,5970293,complete,NES,No D Events,response_slider_endValue,-9,noD negative,74297
5645,5947992,complete,NES,No D Events,response_slider_endValue,-2,noD negative,74297
6445,5947992,complete,NES,No D Events,response_slider_endValue,0,noD positive,74297
9411,6043833,complete,SEN,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,74297
24622,6043833,complete,SEN,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,74297
34411,6086199,complete,SEN,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,74297
49622,6086199,complete,SEN,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,74297
65013,6057715,complete,SEN,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,74297
74622,6057715,complete,SEN,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,74297
9009,5966351,complete,SEN,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,74297
99622,5966351,complete,SEN,Trash_Single_Positive,response_slider_endValue,1,single 16 positive,74297
10947,5968452,complete,SEN,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,74297
124611,5968452,complete,SEN,Trash_Single_Positive,response_slider_endValue,2,single 72 positive,74297
15011,6089196,complete,ENS,Trash_Single_Negative,response_slider_endValue,-8,single 72 negative,74297
24623,6089196,complete,ENS,Trash_Single_Negative,response_slider_endValue,-9,single 16 negative,74297
34412,6054173,complete,ENS,Trash_Single_Negative,response_slider_endValue,-9,single 16 negative,74297
49623,6054173,complete,ENS,Trash_Single_Negative,response_slider_endValue,-8,single 72 negative,74297
5949,6020569,complete,ENS,Trash_Single_Negative,response_slider_endValue,-7,single 16 negative,74297
74623,6020569,complete,ENS,Trash_Single_Negative,response_slider_endValue,-5,single 72 negative,74297
84413,5968425,complete,ENS,Trash_Single_Negative,response_slider_endValue,2,single 16 negative,74297
99623,5968425,complete,ENS,Trash_Single_Negative,response_slider_endValue,1,single 72 negative,74297
